conceptId,directParentId,topParentId,level,topTerm,topTermAdj,term
762766007,105590001,105590001,1,Substance (substance),Substance (substance),edible substance
1672007,766739005,105590001,2,Substance (substance),Substance (substance),substance with ligase mechanism of action
387418006,255640000,105590001,2,Substance (substance),Substance (substance),edetate disodium ( substance) 
410937004,410942007,105590001,2,Substance (substance),Substance (substance),oxytocic agent ( substance) 
130849007,21533003,105590001,3,Substance (substance),Substance (substance),alginase ii
117150003,373247007,105590001,3,Substance (substance),Substance (substance),modecainide
130902009,26160000,105590001,3,Substance (substance),Substance (substance),dichloromuconate cycloisomerase
256568003,255922001,105590001,3,Substance (substance),Substance (substance),dental and oral packing material
77829008,129919009,105590001,3,Substance (substance),Substance (substance),hypotaurine dehydrogenase ( substance) 
25926002,21533003,105590001,3,Substance (substance),Substance (substance),3 - oxolaurate decarboxylase ( substance) 
130897008,26160000,105590001,3,Substance (substance),Substance (substance),isobutyryl- coenzyme a mutase
39817001,106205006,105590001,3,Substance (substance),Substance (substance),prothrombin fragment 1 . 2 
51874009,130202003,105590001,3,Substance (substance),Substance (substance),proline iminopeptidase
18617001,17948008,105590001,3,Substance (substance),Substance (substance),"colony- stimulating factor, megakaryocyte"
56363005,304257007,105590001,3,Substance (substance),Substance (substance),adenosine kinase
108814000,372688009,105590001,3,Substance (substance),Substance (substance),asparaginase polyethylene glycol
79007002,312435005,105590001,3,Substance (substance),Substance (substance),industrial agent ( substance) 
51389006,129919009,105590001,3,Substance (substance),Substance (substance),histidinol dehydrogenase
86537005,130202003,105590001,3,Substance (substance),Substance (substance),penicillium roqueforti neutral proteinase ( substance) 
5091000124108,421955000,105590001,3,Substance (substance),Substance (substance),lowenstein- jensen medium
73717009,26160000,105590001,3,Substance (substance),Substance (substance),muconate cycloisomerase
72460006,129922006,105590001,3,Substance (substance),Substance (substance),"7 , 8 - dihydroxykynurenate oxygenase"
256592006,255922001,105590001,3,Substance (substance),Substance (substance),dentalone ( substance) 
786910006,771382006,105590001,3,Substance (substance),Substance (substance),substance with vascular endothelial growth factor receptor antagonist mechanism of action ( substance) 
72812001,21533003,105590001,3,Substance (substance),Substance (substance),aspartate 4 - decarboxylase
10043003,1672007,105590001,3,Substance (substance),Substance (substance),d- alanyl- alanyl- poly( glycerolphosphate) synthetase
67785007,130055001,105590001,3,Substance (substance),Substance (substance),transfer ribonucleic acid ( guanine- n^7 ^) - methyltransferase
7120007,106181007,105590001,3,Substance (substance),Substance (substance),immunogen
782977003,363521001,105590001,3,Substance (substance),Substance (substance),larotrectinib ( substance) 
59718005,21533003,105590001,3,Substance (substance),Substance (substance),n- acylneuraminate- 9 - phosphate synthase ( substance) 
7716001,129919009,105590001,3,Substance (substance),Substance (substance),isovaleryl- coenzyme a dehydrogenase
61630008,21533003,105590001,3,Substance (substance),Substance (substance),chondroitin sulfate lyase
260213005,68498002,105590001,4,Substance (substance),Substance (substance),non- avid antibody ( substance) 
444471000124101,228110004,105590001,4,Substance (substance),Substance (substance),erythritol ( substance) 
