text_id,text
16357751,"Selective costimulation modulators: a novel approach for the treatment of rheumatoid arthritis. T cells have a central role in the orchestration of the immune pathways that contribute to the inflammation and joint destruction characteristic of rheumatoid arthritis (RA). The requirement for a dual signal for T-cell activation and the construction of a fusion protein that prevents engagement of the costimulatory molecules required for this activation has led to a new approach to RA therapy. This approach is mechanistically distinct from other currently used therapies; it targets events early rather than late in the immune cascade, and it results in immunomodulation rather than complete immunosuppression. The fusion protein abatacept is a selective costimulation modulator that avidly binds to the CD80/CD86 ligands on an antigen-presenting cell, resulting in the inability of these ligands to engage the CD28 receptor on the T cell. Abatacept dose-dependently reduces T-cell proliferation, serum concentrations of acute-phase reactants, and other markers of inflammation, including the production of rheumatoid factor by B cells. Recent studies have provided consistent evidence that treatment with abatacept results in a rapid onset of efficacy that is maintained over the course of treatment in patients with inadequate response to methotrexate and anti-tumor necrosis factor therapies. This efficacy includes patient-centered outcomes and radiographic measurement of disease progression. Abatacept has also demonstrated a very favorable safety profile to date. This article reviews the rationale for this therapeutic approach and highlights some of the recent studies that demonstrate the benefits obtained by using abatacept. This clinical experience indicates that abatacept is a significant addition to the therapeutic armamentarium for the management of patients with RA."
14967461,"Emerging role of epidermal growth factor receptor inhibition in therapy for advanced malignancy: focus on NSCLC. Combination chemotherapy regimens have emerged as the standard approach in advanced non-small-cell lung cancer. Meta-analyses have demonstrated a 2-month increase in median survival after platinum-based therapy vs. best supportive care, and an absolute 10% improvement in the 1-year survival rate. Just as importantly, cytotoxic therapy has produced benefits in symptom control and quality of life. Newer agents, including the taxanes, vinorelbine, gemcitabine, and irinotecan, have expanded our therapeutic options in the treatment of advanced non-small-cell lung cancer. Despite their contributions, we have reached a therapeutic plateau, with response rates seldom exceeding 30-40% in cooperative group studies and 1-year survival rates stable between 30% and 40%. It is doubtful that substituting one agent for another in various combinations will lead to any further improvement in these rates. The thrust of current research has focused on targeted therapy, and epidermal growth factor receptor inhibition is one of the most promising clinical strategies. Epidermal growth factor receptor inhibitors currently under investigation include the small molecules gefitinib (Iressa, ZD1839) and erlotinib (Tarceva, OSI-774), as well as monoclonal antibodies such as cetuximab (IMC-225, Erbitux). Agents that have only begun to undergo clinical evaluation include CI-1033, an irreversible pan-erbB tyrosine kinase inhibitor, and PKI166 and GW572016, both examples of dual kinase inhibitors (inhibiting epidermal growth factor receptor and Her2). Preclinical models have demonstrated synergy for all these agents in combination with either chemotherapy or radiotherapy, leading to great enthusiasm regarding their ultimate contribution to lung cancer therapy. However, serious clinical challenges persist. These include the identification of the optimal dose(s); the proper integration of these agents into popular, established cytotoxic regimens; and the selection of the optimal setting(s) in which to test these compounds. Both gefitinib and erlotinib have shown clinical activity in pretreated, advanced non-small-cell lung cancer, but placebo-controlled randomized Phase III studies evaluating gefitinib in combination with standard cytotoxic therapy, to our chagrin, have failed to demonstrate a survival advantage compared with chemotherapy alone."
23468099,"Effects of chronic social defeat stress on behavior and choline acetyltransferase, 78-kDa glucose-regulated protein, and CCAAT/enhancer-binding protein (C/EBP) homologous protein in adult mice. RATIONALE: Social defeat stress induces physiological and behavioral symptoms, including anxiety, anhedonia, immune deficits, and altered expression of key brain genes. OBJECTIVES: The present study investigated the effects of social defeat stress on the behaviors and expressions of Chat, Grp78, and chop in the brains of adult mice. METHODS: Adult mice were divided into susceptible and unsusceptible groups after 10 days of social defeat stress. In experiment 1, behavioral tests were conducted, and brains were processed for Western blotting at day 27 after stress. In experiment 2, social avoidance tests were conducted, and brains were processed for Western blotting at day 12 after stress. RESULTS: The results indicate decreased and increased locomotion and anxiety behavior in all defeated mice. Decrease in social interaction, increased immobility, and impaired memory performance were only observed in susceptible mice. A decrease in the Chat level at days 12 and 27 was noted in the prefrontal cortex (PFC), amygdala (Amyg), and dorsal hippocampus (HIP) in defeated mice. The expression levels of Grp78 and chop measured on days 12 and 27 were significantly greater in the Amyg of susceptible mice. In the PFC and HIP, defeated mice displayed different patterns in the levels of Grp78 and chop expressions measured on days 12 and 27. CONCLUSIONS: The present study demonstrated that chronic social defeat stress in mice produces stress-related behaviors. Different response patterns were noted for Grp78 and chop expression among the groups in terms of brain regions and time-course effects."
23293962,"Hepatocyte growth factor activator inhibitor type 2 (HAI-2) modulates hepcidin expression by inhibiting the cell surface protease matriptase-2. Matriptase-2, a recently identified cell surface protease, is the key enzyme of iron homoeostasis modulating the expression of the liver peptide hormone hepcidin. HAI (hepatocyte growth factor activator inhibitor) types 1 and 2 (HAI-1 and HAI-2 respectively) have been shown to inhibit the close homologue, i.e. matriptase. By co-expressing matriptase-2 and the inhibitor HAI-2 we have identified HAI-2 displaying high inhibitory potential against matriptase-2 at the cell surface as well as in conditioned medium. Accordingly, complex formation between matriptase-2 and HAI-2 was demonstrated by isolation of the complex via immobilizing either HAI-2 or matriptase-2 from lysates and conditioned medium of co-expressing cells. Furthermore, HAI-2 indirectly influences the expression of the hepcidin-encoding gene HAMP. The inhibitor abrogates the matriptase-2-mediated suppression of HAMP expression, presumably by inhibiting the supposed potential of matriptase-2 to cleave membrane-bound HJV (haemojuvelin). Taken together, the results of the present study have characterized HAI-2 as an inhibitor of matriptase-2 that modulates the synthesis of hepcidin and provides new insights into the regulatory mechanism of iron homoeostasis, with clinical importance for a treatment of iron overload diseases."
7678677,"Alprenolol and bromoacetylalprenololmenthane are competitive slowly reversible antagonists at the beta 1-adrenoceptors of rat left atria. We studied the effects of alprenolol and bromoacetylalprenololmenthane (BAAM) on rat left atria. Alprenolol and BAAM at 10(-7), 3 x 10(-7), and 10(-6) M inhibited the cardiac stimulation response slightly, which is indicative of membrane-stabilizing activity independent of beta-adrenoceptor blockade. This membrane-stabilizing activity was readily reversible. Alprenolol and BAAM also caused surmountable antagonism of isoprenaline responses, and this beta 1-adrenoceptor antagonism was slowly reversible. Inhibition of the isoprenaline responses with alprenolol and BAAM at 10(-6) M was at equilibrium after 60 min, which is indicative of reversible antagonism. We conclude that alprenolol and BAAM are competitive slowly reversible beta 1-adrenoceptor antagonists on rat left atria."
16554356,"Covalent linkage of apolipoprotein e to albumin nanoparticles strongly enhances drug transport into the brain. Drug delivery to the brain is becoming more and more important but is severely restricted by the blood-brain barrier. Nanoparticles coated with polysorbates have previously been shown to enable the transport of several drugs across the blood-brain barrier, which under normal circumstances is impermeable to these compounds. Apolipoprotein E was suggested to mediate this drug transport across the blood-brain barrier. In the present study, apolipoprotein E was coupled by chemical methods to nanoparticles made of human serum albumin (HSA-NP). Loperamide, which does not cross the blood-brain barrier but exerts antinociceptive effects after direct injection into the brain, was used as model drug. Apolipoprotein E was chemically bound via linkers to loperamide-loaded HSA-NP. This preparation induced antinociceptive effects in the tail-flick test in ICR mice after i.v. injection. In contrast, nanoparticles linked to apolipoprotein E variants that do not recognize lipoprotein receptors failed to induce these effects. These results indicate that apolipoprotein E attached to the surface of nanoparticles facilitates transport of drugs across the blood-brain barrier, probably after interaction with lipoprotein receptors on the brain capillary endothelial cell membranes."
16789740,"Discovery and optimization of anthranilic acid sulfonamides as inhibitors of methionine aminopeptidase-2: a structural basis for the reduction of albumin binding. Methionine aminopeptidase-2 (MetAP2) is a novel target for cancer therapy. As part of an effort to discover orally active reversible inhibitors of MetAP2, a series of anthranilic acid sulfonamides with micromolar affinities for human MetAP2 were identified using affinity selection by mass spectrometry (ASMS) screening. These micromolar hits were rapidly improved to nanomolar leads on the basis of insights from protein crystallography; however, the compounds displayed extensive binding to human serum albumin and had limited activity in cellular assays. Modifications based on structural information on the binding of lead compounds to both MetAP2 and domain III of albumin allowed the identification of compounds with significant improvements in both parameters, which showed good cellular activity in both proliferation and methionine processing assays."
7526860,"Keratinocyte growth factor and acidic fibroblast growth factor are mitogens for primary cultures of mammary epithelium. Mammary epithelial cells derived from the entire mammary parenchyma or only end buds were isolated by collagenase digestion of mammary glands from virgin mice. Cells were cultured within collagen gels in serum-free medium containing insulin. Keratinocyte growth factor (KGF or FGF-7) and acidic fibroblast growth factor (aFGF or FGF-1) stimulated multifold proliferation when added alone to this medium. Growth occurred as three-dimensional colonies within the collagen gel matrix. KGF stimulated growth was unaffected by adding heparin. Conversely, multifold growth stimulation by acidic FGF required heparin. Since end buds are the actively proliferating cell population of ductal glands, organ cultures of these structures were prepared. KGF stimulated 3H-thymidine incorporation in these end buds in the absence and presence of epidermal growth factor. These data suggest that acidic FGF and KGF may represent in vivo stromal factors capable of regulating mammary gland development."
17199504,"Configuration of a scintillation proximity assay for the activity assessment of recombinant human adenine phosphoribosyltransferase. Adenine phosphoribosyltransferase plays a role in purine salvage by catalyzing the direct conversion of adenine to adenosine monophosphate. The involvement of the purine salvage pathway in tumor proliferation and angiogenesis makes adenine phosphoribosyltransferase a potential target for oncology drug discovery. We have expressed and characterized recombinant, N-terminally His-tagged human adenine phosphoribosyltransferase. Two assay formats were assessed for use in a high throughput screen: a spectrophotometric-based enzyme-coupled assay system and a radiometric ionic capture scintillation proximity bead assay format. Ultimately, the scintillation proximity assay format was chosen because of automated screening compatibility limitations of the coupled assay. We describe here the biochemical characterization of adenine phosphoribosyltransferase and the development of a robust, homogeneous, 384-well assay suitable for high throughput screening."
16437532,"Cholinesterase inhibitors for Alzheimer's disease. BACKGROUND: Since the introduction of the first cholinesterase inhibitor (ChEI) in 1997, most clinicians and probably most patients would consider the cholinergic drugs, donepezil, galantamine and rivastigmine, to be the first line pharmacotherapy for mild to moderate Alzheimer's disease.The drugs have slightly different pharmacological properties, but they all work by inhibiting the breakdown of acetylcholine, an important neurotransmitter associated with memory, by blocking the enzyme acetylcholinesterase. The most that these drugs could achieve is to modify the manifestations of Alzheimer's disease. Cochrane reviews of each ChEI for Alzheimer's disease have been completed (Birks 2005, Birks 2005b and Loy 2005). Despite the evidence from the clinical studies and the intervening clinical experience the debate on whether ChEIs are effective continues. OBJECTIVES: To assess the effects of donepezil, galantamine and rivastigmine in people with mild, moderate or severe dementia due to Alzheimer's disease. SEARCH STRATEGY: The Cochrane Dementia and Cognitive Improvement Group's Specialized Register was searched using the terms 'donepezil', 'E2020' , 'Aricept' , galanthamin* galantamin* reminyl, rivastigmine, exelon, ""ENA 713"" and ENA-713 on 12 June 2005. This Register contains up-to-date records of all major health care databases and many ongoing trial databases. SELECTION CRITERIA: All unconfounded, blinded, randomized trials in which treatment with a ChEI was compared with placebo or another ChEI for patients with mild, moderate or severe dementia due to Alzheimer's disease. DATA COLLECTION AND ANALYSIS: Data were extracted by one reviewer (JSB), pooled where appropriate and possible, and the pooled treatment effects, or the risks and benefits of treatment estimated. MAIN RESULTS: The results of 13 randomized, double blind, placebo controlled trials demonstrate that treatment for periods of 6 months and one year, with donepezil, galantamine or rivastigmine at the recommended dose for people with mild, moderate or severe dementia due to Alzheimer's disease produced improvements in cognitive function, on average -2.7 points (95%CI -3.0 to -2.3), in the midrange of the 70 point ADAS-Cog Scale. Study clinicians blind to other measures rated global clinical state more positively in treated patients. Benefits of treatment were also seen on measures of activities of daily living and behaviour. None of these treatment effects are large. There is nothing to suggest the effects are less for patients with severe dementia or mild dementia, although there is very little evidence for other than mild to moderate dementia.More patients leave ChEI treatment groups, approximately 29 %, on account of adverse events than leave the placebo groups (18%). There is evidence of more adverse events in total in the patients treated with a ChEI than with placebo. Although many types of adverse event were reported, nausea, vomiting, diarrhoea, were significantly more frequent in the ChEI groups than in placebo. There are four studies, all supported by one of the pharmaceutical companies, in which two ChEIs were compared, two studies of donepezil compared with galantamine, and two of donepezil compared with rivastigmine. In three studies the patients were not blinded to treatment, only the fourth, DON vs RIV/Bullock is double blind. Two of the studies provide little evidence, they are of 12 weeks duration, which is barely long enough to complete the drug titration. There is no evidence from DON vs GAL/Wilcock of a treatment difference between donepezil and galantamine at 52 weeks for cognition, activities of daily living, the numbers who leave the trial before the end of treatment, the number who suffer any adverse event, or any specific adverse event. There is no evidence from DON vs RIV/Bullock of a difference between donepezil and rivastigmine for cognitive function, activities of daily living and behavioural disturbance at two years. Fewer patients suffer adverse events on donepezil than rivastigmine. AUTHORS' CONCLUSIONS: The three cholinesterase inhibitors are efficacious for mild to moderate Alzheimer's disease. It is not possible to identify those who will respond to treatment prior to treatment. There is no evidence that treatment with a ChEI is not cost effective. Despite the slight variations in the mode of action of the three cholinesterase inhibitors there is no evidence of any differences between them with respect to efficacy. There appears to be less adverse effects associated with donepezil compared with rivastigmine. It may be that galantamine and rivastigmine match donepezil in tolerability if a careful and gradual titration routine over more than three months is used. Titration with donepezil is more straightforward and the lower dose may be worth consideration."
