labels,description,ner_oncology,ner_oncology_anatomy_general,ner_oncology_anatomy_general_healthcare,ner_oncology_anatomy_granular,ner_oncology_biomarker,ner_oncology_biomarker_healthcare,ner_oncology_demographics,ner_oncology_diagnosis,ner_oncology_emb_clinical_large,ner_oncology_emb_clinical_medium,ner_oncology_limited_80p_for_benchmarks,ner_oncology_posology,ner_oncology_response_to_treatment,ner_oncology_test,ner_oncology_therapy,ner_oncology_tnm,ner_oncology_unspecific_posology,ner_oncology_unspecific_posology_healthcare
Adenopathy,Mentions of pathological findings of the lymph nodes.,X,,,,,,,X,X,X,X,,,,,,,
Age,"All mention of ages, past or present, related to the patient or with anybody else.",X,,,,,,X,,X,X,X,,,,,,,
Biomarker,"Biological molecules that indicate the presence or absence of cancer, or the type of cancer. Oncogenes are excluded from this category.",X,,,,X,X,,,X,X,X,,,X,,,,
Biomarker_Result,Terms or values that are identified as the result of a biomarkers.,X,,,,X,X,,,X,X,X,,,X,,,,
Cancer_Dx,"Mentions of cancer diagnoses (such as “breast cancer”) or pathological types that are usually used as synonyms for “cancer” (e.g. “carcinoma”). <br> When anatomical references are present, they are included in the Cancer_Dx extraction.",X,,,,,,,X,X,X,X,,,,,X,,
Cancer_Score,Clinical or imaging scores that are specific for cancer settings (e.g. “BI-RADS” or “Allred score”).,X,,,,,,,X,X,X,X,,,,,,,
Cancer_Surgery,Terms that indicate surgery as a form of cancer treatment.,X,,,,,,,,X,X,X,X,,,X,,,
Chemotherapy,"Mentions of chemotherapy drugs, or unspecific words such as “chemotherapy”.",X,,,,,,,,X,X,X,,,,X,,,
Cycle_Count,The total number of cycles being administered of an oncological therapy (e.g. “5 cycles”).,X,,,,,,,,X,X,X,X,,,X,,,
Cycle_Day,References to the day of the cycle of oncological therapy (e.g. “day 5”).,X,,,,,,,,X,X,X,X,,,X,,,
Cycle_Number,The number of the cycle of an oncological therapy that is being applied (e.g. “third cycle”).,X,,,,,,,,X,X,X,X,,,X,,,
Date,"Mentions of exact dates, in any format, including day number, month and/or year.",X,,,,,,,,X,X,X,,,,,,,
Death_Entity,"Words that indicate the death of the patient or someone else (including family members), such as “died” or “passed away”.",X,,,,,,,,X,X,X,,,,,,,
Direction,"Directional and laterality terms, such as “left”, “right”, “bilateral”, “upper” and “lower”.",X,X,X,X,,,,,X,X,X,,,,,,,
Dosage,The quantity prescribed by the physician for an active ingredient.,X,,,,,,,,X,X,X,X,,,X,,,
Duration,Words indicating the duration of a treatment (e.g. “for 2 weeks”).,X,,,,,,,,X,X,X,X,,,X,,,
Frequency,Words indicating the frequency of treatment administration (e.g. “daily” or “bid”).,X,,,,,,,,X,X,X,X,,,X,,,
Gender,"Gender-specific nouns and pronouns (including words such as “him” or “she”, and family members such as “father”).",X,,,,,,X,,X,X,X,,,,,,,
Grade,All pathological grading of tumors (e.g. “grade 1”) or degrees of cellular differentiation (e.g. “well-differentiated”),X,,,,,,,X,X,X,X,,,,,,,
