,pubmed_id,abstract,pubdate,title,fulljournalname
0,PMC3312572,"The pituitary gland and infundibulum can be involved in a variety of medical conditions, including infiltrative diseases, fungal infections, tuberculosis, and primary and metastatic tumors. Metastases to the pituitary gland are absolutely rare, and they are generally secondary to pulmonary carcinoma in men and breast carcinoma in women. Pituitary metastases more commonly affect the posterior lobe and the infundibulum than the anterior lobe. The posterior lobe involvement may explain why patients with pituitary metastases frequently present with diabetes insipidus. We are presenting a case report of a 78-year-old male patient who had metastatic prostate with sudden onset of polyuria and persistent thirst. He had no electrolyte imbalance except mild hypernatremia. The MRI scan of the brain yielded a suspicious area in pituitary gland. A pituitary stalk metastasis was found on magnetic resonance imaging (MRI) of pituitary. Water deprivation test was compatible with DI. A clinical response to nasal vasopressin was achieved and laboratory results revealed central diabetes insipidus. As a result, the intrasellar and suprasellar masses decreased in size, and urinary output accordingly decreased.",2012 Mar 18,Metastatic Prostate Adenocarcinoma Presenting Central Diabetes Insipidus,Case Reports in Medicine
1,PMC7730786,"Current evidence suggests that the information needs of people with diabetes mellitus differ across patient groups. With a view to being able to provide individualized information, this study aims to identify (i) the diabetes-related information needs of people with diabetes mellitus; (ii) different subgroups of people with specific information needs; and (iii) associated characteristics of the identified subgroups, such as sociodemographic characteristics, diabetes-related comorbidities, and well-being.
This cross-sectional study was based on data from 837 respondents with diabetes mellitus who participated in the population-based KORA (Cooperative Health Research in the Augsburg Region) Health Survey 2016 in Southern Germany (KORA GEFU 4 study) (45.6% female, mean age 71.1 years, 92.8% Type 2 diabetes). Diabetes-related information needs were assessed with a questionnaire asking about patients’ information needs concerning 11 diabetes-related topics, e.g. ‘long-term complications’ and ‘treatment/therapy’. Subgroups of people with different information needs and associated characteristics were identified using latent class analysis.
We identified the following four classes of people with different information needs: ‘high needs on all topics’, ‘low needs on all topics’, ‘moderate needs with a focus on complications and diabetes in everyday life’, and ‘advanced needs with a focus on social and legal aspects and diabetes research’. The classes differed significantly in age, years of education, type of diabetes, diabetes duration, diabetes-related comorbidities, smoking behaviour, diabetes education, current level of information, and time preference.
Knowledge about different patient subgroups can be useful for tailored information campaigns or physician-patient interactions. Further research is needed to analyse health care needs in these groups, changes in information needs over the course of the disease, and prospective health outcomes.
Supplementary information accompanies this paper at 10.1186/s12889-020-09968-9.",2020 Dec 10,Different information needs in subgroups of people with diabetes mellitus: a latent class analysis,BMC Public Health
2,PMC6913526,"Ethnic minority populations exhibit disproportionately high rates of type 2 diabetes mellitus (T2DM). Electronic health tools have the potential to facilitate the cultural adaptation and tailoring of T2DM education to improve the knowledge and management of diabetes mellitus (DM).
This study aimed (1) to develop an adaptable Interactive Lifestyle Assessment, Counseling, and Education (I-ACE) software to support dietitian-delivered lifestyle counseling among low-socioeconomic status (SES) ethnic minority patients with T2DM and (2) to evaluate its effect on DM-related dietary knowledge and management compared with standard lifestyle advice (SLA) in a randomized controlled trial (RCT).
The I-ACE software, developed in consultation with clinical dieticians, incorporates evidence-based dietary and physical activity (PA) recommendations and educational materials. The features and behavioral change techniques include quantitative lifestyle (dietary intake and PA) assessment and simulation, individually tailored education and recommendations, motivational interviewing, and goal setting. For the unblinded pilot RCT, 50 overweight or obese Arab adults (aged 40-62 years) with poorly controlled T2DM were recruited from primary care clinics and randomly assigned to receive 4 in-person, dietician-delivered counseling sessions over 6 months using either (1) the I-ACE tool (experimental arm) or (2) the SLA methods (comparison arm). All outcome assessments were face-to-face. DM-related dietary knowledge (primary outcome) was measured at baseline, 3, 6, and 12 months. Lifestyle and other parameters were measured before, during, and after the intervention. Multiple linear regression and repeated measures linear mixed models were used to compare the changes in study outcomes and explore time trends in between-group and within-group changes.
A total of 25 participants were enrolled in each arm, of whom 24 and 21 completed the final assessment of the primary outcome in the I-ACE and SLA arms, respectively. DM-related lifestyle knowledge increased more rapidly in the I-ACE arm than in the SLA arm (P value for study arm×time interaction=.02). Within the I-ACE arm, the mean (SE) differences in added sugar and dietary fiber intakes from baseline to 12 months were −2.6% (SE 1.0%) of total energy (P=.03) and 2.7 (SE 0.0) g/1000 kcal (P=.003), respectively. The odds of engaging in any leisure PA at 12 months tended to be higher in the I-ACE arm versus SLA arm, but did not reach statistical significance (odds ratio 2.8; 95% CI 0.7-11.6; P=.16). Both arms exhibited significant reductions in HbA1c (P value for change over time <.001).
The use of the I-ACE software in a 6-month, 4-session dietician-delivered lifestyle counseling intervention improved the efficiency of lifestyle education, compared with SLA, among low-SES, ethnic minority patients with T2DM. This pilot trial provides justification for conducting a large-scale trial to evaluate its effectiveness and applicability in routine clinical care among ethnically diverse populations.
ClinicalTrials.gov NCT01858506; https://clinicaltrials.gov/ct2/show/NCT01858506.",2019 Oct 16,"Development and Efficacy of an Electronic, Culturally Adapted Lifestyle Counseling Tool for Improving Diabetes-Related Dietary Knowledge: Randomized Controlled Trial Among Ethnic Minority Adults With Type 2 Diabetes Mellitus",Journal of Medical Internet Research
3,PMC4653349,"Recently, imbalance in the vasopressin (AVP) system, measured as elevated levels of copeptin (the C-terminal part of the AVP pro-hormone) in plasma, was linked to the development of abdominal obesity and diabetes mellitus (DM). Here, we aim to investigate if the genetic variation of the human AVP receptor 1b gene (AVPR1B) is associated with measures of obesity and DM.
Malmö Diet and Cancer study (MDC) is a population-based prospective cohort examined 1991–1996.
Four tag single nucleotide polymorphisms (SNPs: rs35810727, rs28373064, rs35439639, rs35608965) of AVPR1B were genotyped in the cardiovascular cohort (n=6103) of MDC (MDC-CC) and associated with measures of obesity and DM. Significant SNPs were replicated in another 24 344 MDC individuals (MDC replication cohort).
In MDC-CC, the major allele of rs35810727 was associated with elevated BMI (β-coefficient±s.e.m.; 0.30±0.14, P=0.03) and waist (0.78±0.36, P=0.03) after age and gender adjustment. The association with BMI was replicated in the MDC replication cohort (0.21±0.07, P=0.003), whereas that with waist was not significant. In MDC-CC there was no association between the major allele of rs35810727 and DM, but in the complete MDC cohort (n=30 447) the major allele of rs35810727 was associated with DM (OR (95% CI); 1.10 (1.00–1.20), P=0.04).
Genetic variance of AVPR1B contributes to overweight. Furthermore, our data indicate a link between AVPR1B variance and DM development. Our data point at a relationship between the disturbance of the pharmacologically modifiable AVP system and the body weight regulation.",2016 Jan,Genetic vasopressin 1b receptor variance in overweight and diabetes mellitus,European Journal of Endocrinology
4,PMC8606862,"Deterioration in glucose homeostasis has been associated with intestinal dysbiosis, but it is not known how metabolic dysregulation alters the gastrointestinal environment. We investigated how the progression of diabetes alters ileal and colonic epithelial mucosal structure, microbial abundance, and transcript expression in the University of California Davis Type 2 Diabetes Mellitus (UCD‐T2DM) rat model. Male UCD‐T2DM rats (age ~170 days) were included if <1‐month (n = 6, D1M) or 3‐month (n = 6, D3M) post‐onset of diabetes. Younger nondiabetic UCD‐T2DM rats were included as a nondiabetic comparison (n = 6, ND, age ~70 days). Ileum villi height/crypt depths and colon crypt depths were assessed by histology. Microbial abundance of colon content was measured with 16S rRNA sequencing. Ileum and colon transcriptional abundances were analyzed using RNA sequencing. Ileum villi height and crypt depth were greater in D3M rats compared to ND. Colon crypt depth was greatest in D3M rats compared to both ND and D1M rats. Colon abundances of Akkermansia and Muribaculaceae were lower in D3M rats relative to D1M, while Oscillospirales, Phascolarctobacterium, and an unidentified genus of Lachnospiraceae were higher. Only two transcripts were altered by diabetes advancement within the colon; however, 2039 ileal transcripts were altered. Only colonic abundances of Sptlc3, Enpp7, Slc7a15, and Kctd14 had more than twofold changes between D1M and D3M rats. The advancement of diabetes in the UCD‐T2DM rat results in a trophic effect on the mucosal epithelia and was associated with regulation of gastrointestinal tract RNA expression, which appears more pronounced in the ileum relative to the colon.
The advancement of diabetes in the UC Davis Type 2 Diabetes Mellitus (UCD‐T2DM) rat model results in a trophic effect on the mucosal epithelia. Diabetes was also associated with regulation of gastrointestinal tract RNA expression, which appears more pronounced in the ileum relative to the colon. The UCD‐T2DM rat spontaneously develops diabetes while consuming standard chow, thus, these changes may be diabetes specific.",2021 Nov 21,Progression of diabetes is associated with changes in the ileal transcriptome and ileal‐colon morphology in the UC Davis Type 2 Diabetes Mellitus rat,Physiological Reports
5,PMC8756324,"We aimed to determine the hospital‐based prevalence and clinical features of fulminant type 1 diabetes mellitus in Korea.
We identified all patients with diabetes who regularly visited the Endocrinology outpatient clinics at eight centers for a period >1 year between January 2012 and June 2017. We investigated their medical records retrospectively.
During this period, 76,309 patients with diabetes had been regularly followed up. Among them, 913 (1.2%) patients had type 1 diabetes mellitus . There were 462 patients with type 1 diabetes mellitus whose data at the time of the first diagnosis could be identified (359 and 103 with non‐ketosis and ketosis onset, respectively). Of these, 15 (3.2% of type 1 diabetes mellitus, 14.6% of ketosis onset diabetes) patients had fulminant type 1 diabetes mellitus. The median ages at diagnosis were 40 and 27 years in the fulminant type 1 diabetes mellitus and non‐fulminant type 1 diabetes mellitus groups, respectively. The patients with fulminant type 1 diabetes mellitus had higher body mass index, lower glycated hemoglobin and fasting/peak C‐peptide, and lower frequent glutamic acid decarboxylase antibody‐positive rate (P =0.0010) at diagnosis. Furthermore, they had lower glycated hemoglobin at the last follow‐up examination than those with non‐fulminant type 1 diabetes mellitus.
In this study, the prevalence of type 1 diabetes mellitus was 1.2% among all patients with diabetes, and that of fulminant type 1 diabetes mellitus was 3.2% among those newly diagnosed with type 1 diabetes mellitus. The glycated hemoglobin levels were lower in patients with fulminant type 1 diabetes mellitus than in those with non‐fulminant type 1 diabetes mellitus at diagnosis and at the last follow‐up examination.
We provide novel information on the prevalence and clinical features of fulminant type 1 diabetes mellitus in Korea.",2021 Aug 31,Prevalence and clinical characteristics of fulminant type 1 diabetes mellitus in Korean adults: A multi‐institutional joint research,Journal of Diabetes Investigation
6,PMC7245830,"Although important advances in treatment strategies have been developed in type 2 diabetes mellitus (T2DM), large gaps exist in achieving glycemic control and preventing complications, particularly in low-and middle-income countries, which suggests a potential effect of social determinants of health (SDH, i.e., education level and socioeconomic status). However, few studies have determined the role of SDH and other determinants of health (ODH, i.e., diabetes knowledge and self-care scores) in achieving T2DM goals during effective multidisciplinary interventions. We aimed to examine a multicomponent integrated care (MIC) program on diabetes care goals and determine the effect of SDH and ODH on T2DM patients.
A before-and-after design (a pretest, a 5-month intervention, and a follow-up) was used in a T2DM population from Mexico City. The SDH included education level and socioeconomic status; the ODH included diabetes knowledge, self-care scores, and deltas (i.e., differences between baseline and follow-up scores). The triple-target goal (glycated hemoglobin, blood pressure, and LDL-cholesterol) was established as a measurement of T2DM goals.
The DIABEMPIC (DIABetes EMPowerment and Improvement of Care) intervention (n = 498) reduced the glycated hemoglobin levels (mean reduction 2.65%, standard deviation [SD]: 2.02%) and cardiometabolic parameters; it also improved health-related quality of life. From 1.81% at baseline, 25.9% of participants (p-value< 0.001) achieved the triple-target goal. We found a significant association between education level (p-value = 0.010), diabetes knowledge at baseline (p-value = 0.004), and self-care scores at baseline (p-value = 0.033) in the delta (change between baseline and follow-up assessments) of HbA1c levels. Improvements (increase) in diabetes knowledge (p-value = 0.006) and self-care scores (p-value = 0.002) were also associated with greater reductions in HbA1c.
MIC strategies in urban primary care settings contribute to control of T2DM. SDH, such as education level, and ODH (diabetes knowledge and self-care scores at baseline) play a key role in improving glycemic control in these settings.",2020 May 24,Role of social and other determinants of health in the effect of a multicomponent integrated care strategy on type 2 diabetes mellitus,International Journal for Equity in Health
7,PMC7146037,"Background: Diabetes is referred to a group of diseases characterized by high glucose levels in blood. It is caused by a deficiency in the production or function of insulin or both, which can occur because of different reasons, resulting in protein and lipid metabolic disorders. The aim of this study was to systematically review the prevalence and incidence of type 1 diabetes in the world. 
Methods: A systematic search of resources was conducted to investigate the prevalence and incidence of type 1 diabetes in the world. The databases of Medline (via PubMed and Ovid),ProQuest, Scopus, and Web of Science from January 1980 to September 2019 were searched to locate English articles. The located articles were screened in multiple levels of title, abstract,and full-text and final studies that met the inclusion criteria were retrieved and included in the study. 
Results: From 1202 located articles, 193 studies were included in this systematic review. The results of meta-analysis showed that the incidence of type 1 diabetes was 15 per 100,000 people and the prevalence was 9.5% (95% CI: 0.07 to 0.12) in the world, which was statistically significant. 
Conclusion: According to the results, the incidence and prevalence of type 1 diabetes are increasing in the world. As a result, insulin will be difficult to access and afford, especially in underdeveloped and developing countries.",2020 Mar 30,Prevalence and incidence of type 1 diabetes in the world: a systematic review and meta-analysis,Health Promotion Perspectives
8,PMC4783042,"Different studies have produced conflicting results regarding the association between smoking and diabetes mellitus, and detailed analysis of this issue in Chinese males based on nationwide samples is lacking. We explored the association between cigarette smoking and newly-diagnosed diabetes mellitus (NDM) in Chinese males using a population-based case-control analysis; 16,286 male participants without previously diagnosed diabetes were included. Prediabetes and NDM were diagnosed using the oral glucose tolerance test. The cohort included 6,913 non-smokers (42.4%), 1,479 ex-smokers (9.1%) and 7,894 current smokers (48.5%). Age-adjusted glucose concentrations (mmol/L) were significantly lower at fasting and 120 min in current smokers than non-smokers (5.25 vs. 5.30, 6.46 vs. 6.55, respectively, both P < 0.01). After adjustment for demographic and behavioral variables (age, region, alcohol consumption status, physical activity, education, and family history of diabetes), logistic regression revealed significant negative associations between smoking and NDM in males of a normal weight (BMI < 25 kg/m2: adjusted odds ratio [AOR] = 0.75, P = 0.007; waist circumference < 90 cm: AOR = 0.71, P = 0.001) and males living in southern China (AOR = 0.75, P = 0.009), but not in males who were overweight/obese, males with central obesity, or males living in northern China. Compared to non-smokers, current smokers were less likely to be centrally obese or have elevated BP (AOR: 0.82 and 0.74, both P < 0.05), and heavy smokers (≥ 20 pack-years) were less likely to have elevated TG (AOR = 0.84, P = 0.012) among males of a normal weight. There were no significant associations between quitting smoking and metabolic disorders either among males of a normal weight or males who were overweight/obese. In conclusion, smokers have a lower likelihood of NDM than non-smokers among Chinese males with a lower BMI/smaller waist.",2016 Mar 8,Cigarette Smoking Is Associated with a Lower Prevalence of Newly Diagnosed Diabetes Screened by OGTT than Non-Smoking in Chinese Men with Normal Weight,PLoS ONE
9,PMC5471766,"The prevalence of diabetes in children and adolescents is increasing worldwide, with profound implications on the long-term health of individuals, societies, and nations. The diagnosis and management of diabetes in youth presents several unique challenges. Although type 1 diabetes is more common among children and adolescents, the incidence of type 2 diabetes in youth is also on the rise, particularly among certain ethnic groups. In addition, less common types of diabetes such as monogenic diabetes syndromes and diabetes secondary to pancreatopathy (in some parts of the world) need to be accurately identified to initiate the most appropriate treatment. A detailed patient history and physical examination usually provides clues to the diagnosis. However, specific laboratory and imaging tests are needed to confirm the diagnosis. The management of diabetes in children and adolescents is challenging in some cases due to age-specific issues and the more aggressive nature of the disease. Nonetheless, a patient-centered approach focusing on comprehensive risk factor reduction with the involvement of all concerned stakeholders (the patient, parents, peers and teachers) could help in ensuring the best possible level of diabetes control and prevention or delay of long-term complications.",2016 Nov 10,Challenges in diagnosis and management of diabetes in the young,Clinical Diabetes and Endocrinology
