text,category
"meal-allowance Subject to the terms and provisions of this Work Letter, Landlord shall pay the cost of the Tenant Improvements (""Work"") up to the amount the Landlord's Construction Allowance, and subject to the terms of Addendum if properly requested by Tenant, the Additional TI Allowance. If the amount of the lowest qualified bid to perform the Work exceeds the Landlord's Construction Allowance and the Additional TI Allowance (if so requested by Tenant in accordance with the terms of Addendum Four), Tenant shall bear the cost of such excess and shall pay the estimated cost of such excess to Landlord prior to commencement of construction of such Tenant Improvements and a final adjusting payment based upon the actual costs of the Tenant Improvements shall be made when the Tenant Improvements are completed. If the cost of the Work is less than such amount, then Tenant shall not receive any credit whatsoever for the difference between the actual cost of the Work and Landlord's Construction Allowance. All remaining amounts due to Landlord shall be paid upon the earlier of Substantial Completion of the Tenant Improvements or presentation of a written statement of the sums due, which statement may be an estimate of the cost of any component of the Work. The cost of the permits, hard construction costs, fees, permits and general contract overhead shall be payable out of the Landlord's Construction Allowance and shall be included in the cost of the Work. The cost of the asbestos testing, architecture, and engineering fees shall be paid for by Landlord, and shall not be included in the cost of the Work. The cost of the Work shall not include any other fees payable to Landlord.",ti-allowance
"construction-of-the-tenant-improvements Tenant shall receive a Tenant Improvement Allowance as shown on Exhibit ""C"" attached.",ti-allowance
"Tenant Improvements Lessor, at Lessor’s cost, shall construct tenant improvements consistent with the final floor plan, budget and plans and specifications approved by Lessee (the “Tenant Improvement Work”) provided that Lessor’ shall not be obligated to pay for any portion of the Tenant Improvement Work that exceeds $410,000 except through the funding of the T.I. Loan, Lessor shall construct the Tenant Improvement Work in accordance with all applicable laws. Lessee shall have sole discretion to approve changes to design/value engineering once a mutually agreed upon plan has been finalized. Any additional improvement work besides the Tenant Improvement Work shall be at Lessee’s sole cost, due and payable 50% prior to construction and 50% upon completion of construction. Lessee’s preliminary narrative of the Tenant Improvement Work is generally acceptable; provided Lessor may recommend cost saving options to Lessee, such as utilizing alternative materials still maintaining the high level of improvement, and can work with the Lessee to finalize the plan, which shall be acceptable to Lessee in Lessee’s discretion, with Lessor’s approval which shall not be unreasonably withheld. Lessee’s consultants, including architect, shall be at Lessee’s sole cost and expense. Lessor and Lessee shall meet and finalize the floor plan, to be complete no later than July 31, 2014. Early Access: Tenant shall have early access, free of charge, Three (3) weeks prior to lease commencement date, if Tenant early access does not interfere with the Landlord improvement work",ti-allowance
"Provided there shall not be existing a default by Tenant under the provisions of the Lease, Landlord agrees to provide up to, but not in excess of Nine Thousand Fourteen and No/100 Dollars ($9,014.00) (the ""Tenant Improvement Allowance""), which is calculated at $2.00 per square foot of the net rentable area of the Premises. Tenant shall have up to twelve (12) months after the Commencement Date to use the Tenant Improvement Allowance.",ti-allowance
"Landlord shall provide Tenant a tenant improvement allowance (the ""Tenant Improvement Allowance"") in an amount equal to $4.50 per rentable square foot of the Premises toward Tenant's actual, out-of-pocket costs incurred for design, architectural, engineering and other fees (including consulting and project management fees) related to, and for the hard costs of construction of, the Initial Tenant Improvements. The Tenant Improvement Allowance shall be disbursed by Landlord in a manner consistent with typical construction draw procedures; Tenant may submit draw requests not more frequently than monthly, such requests to be accompanied by such reasonable and customary documentation as Landlord may require, including lien waivers. Draws may commence at any time after Lease execution, but may only be submitted for expenses actually incurred by Tenant. If Landlord defaults in the payment of the Tenant Improvement Allowance, and such default continues for 5 business days after written notice of default given by Tenant to Landlord, Tenant may set off amounts due and unpaid (together with interest at the rate provided in this Lease) against the installment(s) of Minimum Annual Rent next due.",ti-allowance
"TI Allowance"" shall mean a sum equal to Thirty ------------ Dollars ($30.00) multiplied by the number of usable square feet comprising the Premises as shown on the Final Building Plans.",ti-allowance
"Construction of <strong>Tenant Improvements</strong> The Premises shall continue to be occupied in an “as-is” condition, except Landlord shall provide tenant with a Tenant Improvement Allowance in the amount of $164,655 ($15 per rentable square foot) of which up to $92,000 may be used for tenant furnishings (modular furniture etc.). Landlord shall reimburse Tenant within 30 days of receipt of copies of Tenant’s paid invoices.",ti-allowance
"disbursement-of-the-tenant-improvement-allowance Base Rent shall be increased as of the Rent Commencement Date by an amount equal to $0.15858 per annum for each dollar or portion thereof of the Additional Tenant Improvement Allowance elected to be used by Tenant pursuant to Section 5(b) of the Work Letter. For example, if the entire Additional Tenant Improvement Allowance was disbursed by Landlord, the initial annual Base Rent on a per rentable square foot basis would be $83.75. The portion of Base Rent attributable solely to the Additional Tenant Improvement Allowance shall not be subject to the annual adjustment provided for in Section 4(b) below.",ti-allowance
See Exhibit D.,ti-allowance
"boot-allowance Landlord agrees to provide Tenant the TI Allowance as described in Section 1 of this Lease for third party, out-of-pocket costs incurred by Tenant in designing and constructing, and moving to, the Initial Leasehold Improvements; provided, however, that (i) no more than $6.00 per square foot of Net Rentable Area contained in the Premises of the TI Allowance may be applied towards soft costs (i.e., space planning/interior architecture, the preparation of working drawings, including mechanical, electrical and plumbing drawings, code compliance review, third party project management services, and other consultants fees associated with preparation of working drawings) and engineering (“Design Costs”) and towards Tenant’s technology expenses (i.e., voice and data cabling and/or security) (“Technology Expenses”)and (ii) no more than $2.00 per square foot of Net Rentable Area contained in the Premises of the TI Allowance may be applied towards Tenant’s moving expenses (“Moving Expenses”). The TI Allowance must be spent by Tenant by the last day of the sixth month following the Commencement Date. During this sixth-month period, any remaining amounts of the TI Allowance not previously advanced to Tenant will be applied to Basic Rental due during such months under this Lease. The portions of the TI Allowance not applied to Design Costs, Moving Expenses or Technology Expenses shall be funded in installments (no more frequently than once per month on the fifth day of each month) following Landlord’s receipt of Tenant’s written draw request (which draw request in respect of each month shall be submitted on or before the fifth day of the preceding month), accompanied by the following: (a) unconditional progress lien waivers from the General Contractor and all contractors whose work is the subject of such draw request, (b) reasonable supporting detail in AIA G702 format, with copies of such back-up materials which Tenant receives from the Tenant’s Contractor, (c) a copy of the certificate of Tenant’s construction manager or Architect certifying to Tenant that Tenant’s Work has been completed to the extent represented by the draw request; and (d) evidence of payment made by Tenant to such third parties. The portions of the TI Allowance applied to Design Costs, Moving Expenses and Technology Expenses shall be funded in installments as costs are incurred by Tenant no more frequently than monthly upon submission to Landlord of invoices evidencing the incurrence of such costs. If the total costs of Tenant’s Work, Design Costs, Moving Expenses and Technology Expenses exceed the TI Allowance, the excess shall be at Tenant’s sole cost and expense, and shall be funded on a pro rata basis, monthly, as construction progresses with each advance by Landlord. Landlord’s pro rata share shall be equal to the percentage obtained by dividing the TI Allowance by the total costs of Tenant’s Work, Design Costs and estimated Moving Expenses and Technology Expenses, which estimate may change from time to time. Tenant’s pro rata share shall equal 100% minus Landlord’s pro rata share. If Landlord fails to timely fund installments of the TI Allowance, as set forth above, Tenant shall deliver a Conspicuous Notice to Landlord notifying Landlord of such failure. If Landlord fails to fund such installments of the TI Allowance within ten days of Landlord’s receipt of the Conspicuous Notice, then, without limiting any other remedy available to Tenant under this Lease on account of such default, in lieu of its receipt of such installments, Tenant may, at its election, offset the amount of such installments, plus interest at the prime rate on the unpaid balance of the TI Allowance, against its next accruing payment(s) of Basic Rental hereunder until the full amount of the TI Allowance, together with all interest thereon, has been recouped by Tenant.",ti-allowance
