task_id,text
1840,"The recipient shall not, during the term of this agreement and for a period of 2 years following its termination, hire or employ any of the disclosing party's employees in the field of engineering in Germany."
1840,"The recipient shall not, during the term of this agreement and for a period of 2 years following its termination, hire or employ any of the disclosing party's employees in the field of engineering in Germany"
156,"This Agreement shall inure to the benefit of and be binding upon
each of the Parties and their respective successors and assigns, provided,
however, that neither this Agreement nor any of the rights, interests or
obligations hereunder shall be assigned by either of the Parties hereto
without the prior written consent of the other Party, and no assignment of
any right, interest or obligation shall release any such assigning Party
therefrom unless that other Party shall have consented to such release in
writing specifically referring to the right, interest or obligation from
which such assigning Party is to be released."
1924,"Unless otherwise provided herein, your obligations under this letter shall terminate two (2) years from the date hereof"
1807,"The recipient shall not, during the term of this agreement and for a period of 2 years following its termination, develop or market any products or services that are similar to or competitive with the disclosing party's products or services in Russia."
18,"FORM OF CONFIDENTIALITY AGREEMENT  
        THIS AGREEMENT is entered into this            day
of                        , 200    , by and between Ultimate Electronics, Inc., a Delaware
corporation (""Ultimate""), and                        (""Employee"
18,"RECITALS  
        WHEREAS, Ultimate and its affiliates (collectively referred to herein as the ""Company"") are engaged in the business of operating specialty retail stores selling
consumer electronics and home entertainment systems. 
        WHEREAS,
The Company (directly or through an affiliate) has employed the Employee to perform services for it and the Employee has accepted said employment. 
        WHEREAS,
The Company owns certain trade secrets and has conceived, created, developed and acquired confidential information in connection with its business, which trade secrets and
confidential information are valuable assets of the Company. As a consequence of his or her employment, confidential information and trade secrets of the Company have been or will be disclosed to the
Employee or are or will be known by the Employee. 
        WHEREAS,
Employee acknowledges the Company's right and need to prevent the disclosure of its trade secrets and confidential information. 
        WHEREAS,
Employee acknowledges that in connection with the duties assigned to him or her, Employee will influence and contribute to the success of the Company's Business"
18,"Confidential Information.    For purposes of this Agreement, ""Confidential Information"" means (i) any and
all knowledge, data, or information disclosed to the Employee or known by the Employee as a consequence of his or her employment by the Company (including any and all knowledge, data, or information
conceived, created, discovered, developed or reduced to practice by him or her), not generally known in the industry in which the Company is or may be engaged, that relates to the Company, its
business, its development of intellectual property, and its operations, and (ii) any and all confidential or proprietary information from third parties received subject to a duty on the
Company's part to maintain and, in some cases, to use it only for certain limited purposes. 
        By
way of illustration but not limitation, ""Confidential Information"" includes business concepts, operating techniques, marketing methods, financial information, demographic and trade
area information, prospective site locations, customer profiles or preferences, trade secrets, trade dress, processes, software programs, know-how, improvements, discoveries, developments,
designs, techniques, procedures, methods, machinery, devices, drawings, specifications, research, marketing plans, strategies, forecasts, new products, unpublished financial statements, budgets,
projections, licenses, prices, costs, and customer and supplier lists. Confidential Information shall not include: (x) information known to the Employee prior to his or her employment by the
Company and not obtained or derived directly from the Company; (y) information that is or becomes available to the general public other than through acts or omissions attributable to the
Employee; or (z) information obtained from a third party who is lawfully in possession of the same and who is not subject to a confidentiality or nonuse obligation owed to the Company or others
with respect to that information"
18,"For
purposes of this Agreement, specific information disclosed shall not be deemed to be within the foregoing exceptions merely because it is embraced by general information in the
public domain. 

 

        2.    Nondisclosure of Confidential Information.    

        (a)  The
Employee acknowledges and agrees that all Confidential Information as now exists, or which shall subsequently be developed is, and shall remain, the exclusive
property of the Company, and that the Employee shall not acquire any rights whatsoever in such Confidential Information. 
        (b)  The
Employee agrees that, except as required by the performance of his or her duties for the Company, he or she will not, during his or her employment with the Company
or at any time following the termination of such employment, directly or indirectly, use, disseminate, disclose, or make accessible all or any portion of such Confidential Information to any person,
firm, corporation, association or other entity without written authorization from an officer of the Company. 
        (c)  The
Employee shall secure any documents, items of work in process, work products, and any other items in his or her possession or under his or her control that embody
Confidential Information in locked files or areas providing restricted access to prevent its unauthorized disclosure. 
        (d)  The
Employee shall not copy, in whole or in part, any of such Confidential Information, including software materials or other electronic storage media containing or
embodying Confidential Information, except as required by the performance of his or her duties for the Company. 
        (e)  The
Employee shall immediately notify the Company of any loss or misplacement of Confidential Information or of any unauthorized disclosure or use of Confidential
Information"
18,"14.    Governing Law.    This Agreement shall be construed under and governed by the laws of the State of Colorado.
Jurisdiction and venue shall be in the federal or state courts of Colorado"
18,"Remedies.    

        (i)    If
Employee breaches the terms of the non-competition clause set forth in this Section 5, then the Company shall have the right to repurchase any or
all Shares purchased by the Employee upon the exercise of Options within the twelve-month period immediately preceding the breach at the Option
Price, or, if the Employee no longer holds such shares, the Company shall have the right to receive from the Optionee payment of that amount per share equal to the sale price minus the Option Price.
Nothing contained in this Section 5(c)(i) shall be construed as prohibiting the Company from pursuing any other remedies available to it, including the recovery of damages from the
Employee, in the event of a breach. 
        (ii)  The
Employee acknowledges that a breach by him or her of the provisions of this Agreement will cause the Company irreparable injury for which the Company cannot be
reasonably or adequately compensated in money damages. The Company shall, therefore, be entitled, in addition to all other remedies available to it, to injunctive and/or other equitable relief to
prevent a breach of this Agreement, or any part of it, and to secure its enforcement. Nothing contained in this Section 5(c)(ii) shall be construed as prohibiting the Company from
pursuing any other remedies available to it, including the recovery of damages from the Employee, in the event of a breach"
18,"Successors and Assigns.    The Employee's obligations under this Agreement with regard to confidentiality, as
set forth in Section 2, shall be binding upon the Employee's heirs, executors, administrators, and legal representatives, and the rights of the Company under this Agreement shall inure to the
benefit of its successors and assigns"
18,"THIS AGREEMENT is entered into this            day
of                        , 200    , by and between Ultimate Electronics, Inc., a Delaware
corporation (""Ultimate""), and                        (""Employee"")"
1825,"The recipient shall not, during the term of this agreement and for a period of 2 years following its termination, develop or market any products or services that are similar to or competitive with the disclosing party's products or services in the field of e-commerce in Mexico."
1796,"The recipient shall not, during the term of this agreement and for a period of 1 years following its termination, solicit or accept business from any customers or clients of the disclosing party with whom the recipient had contact during the term of this agreement."
1801,The recipient shall not hire or employ any of the disclosing party's employees in the European Union for a period of 4 years following the termination of this agreement.
301,"Company may
not sell, transfer, assign, sublicense, or subcontract any right or obligation
hereunder without the prior written consent of ASG."
1790,The recipient shall not solicit or do business with any of the disclosing party's customers or clients for a period of 5 years following the termination of this agreement.
233,"Assignment; Amendment. Any assignment or attempted assignment of this letter by Receiving
Party without the prior written consent of Seahawk shall be void.. The agreements set forth in
this letter may be modified or waived only as agreed in writing by Seahawk and Receiving Party."
1929,"This agreement will terminate and be of no further force or effect three years from the date hereof; provided that (i) Sections 1, 13, 17 and 18 shall be binding in perpetuity or until the latest date permitted by law and (ii) notwithstanding the foregoing, the terms of this agreement shall survive with respect to any Confidential Information of the Disclosing Party retained or not destroyed by the Receiving Party or its Representatives pursuant to Section 7 hereof until such time as it ceases to be Confidential Information of the Disclosing Party hereunder. For the avoidance of doubt, notwithstanding any decision by either party to terminate its consideration of the Transaction or the return or destruction of Confidential Information of the Disclosing Party pursuant to Section 7, each party and its Representatives will continue to be bound in accordance with the terms hereof for the term of this agreement"
1925,"Termination. Either party to this Agreement may terminate the Agreement upon thirty (30) days written notice to the other party; provided, however, that, this Agreement cannot be terminated while any other agreements between the parties remain in effect; and, notwithstanding the termination of this Agreement, its provisions shall survive for a period of five (5) years from the date of such termination"
1953,"Purpose. The purpose of the disclosure of Confidential Information is to evaluate, discuss and/or negotiate a potential business transaction between the parties (or their respective Affiliates) for a commercial relationship in Europe related to Zogenix’s proprietary product known as Fintepla® (fenfluramine) (the “Purpose”)"
126,"THIS  CONFIDENTIALITY AGREEMENT (""Agreement"") is made this 14th day of
April, 1999, by and between URS CORPORATION, a Delaware corporation with its
principal office located at 000 Xxxxxxxxxx Xxxxxx, Xxxxx 000, Xxx Xxxxxxxxx,
Xxxxxxxxxx 00000 (""URS""), and DAMES & XXXXX GROUP, a Delaware corporation with
its principal office located at 000 Xxxxxxxx Xxxxxxxxx, Xxxxx 000, Xxx Xxxxxxx,
Xxxxxxxxxx 00000 (""Dames & Xxxxx"")"
126,"RECITALS

     A.  URS and Dames & Xxxxx have expressed interest in exploring the
possibility of entering into some form of business combination or similar
transaction between URS and Dames & Xxxxx (a ""Transaction"").

     B.  Toward this end, URS desires to investigate and examine the business
operations, accounts, books, records, financial condition and services of Dames
& Xxxxx, and Dames and Xxxxx desires to investigate and examine certain aspects
of the financial resources of URS.

     C.  The parties are willing to facilitate such investigations and
examinations by providing each other with certain information and other
assistance upon the terms and conditions of this Agreement"
126,"The term ""Confidential Information,"" as used in this Agreement, shall
mean information or material relating to one party obtained by or provided to
the other party, directly or indirectly, whether or not in writing, and whether
delivered to one party by the other party, obtained or ascertained as a result
of access to the premises of the other party or any communication with any
officer, director, shareholder, employee, agent or other representative of the
other party, or obtained or ascertained in any other manner.  Without limiting
the generality of the foregoing, Confidential Information includes, but is not
limited to, the following types of information:  designs, drawings,
specifications, data, diagrams, technical information, flow charts, marketing
techniques and other information related to customers and suppliers, trade
secrets, pricing policies, contracts, financial information, analyses,
forecasts, studies and any other information about the business or operations of
a party designated as Confidential Information"
126,"Notwithstanding the foregoing,
Confidential Information does not include information which: (a) was known to a
party without any obligation of confidentiality prior to the 

 
disclosure by the other party; (b) is or becomes generally available to the
public other than by breach of this Agreement or any other agreement; (c) is
revealed to a party by a third party who to the knowledge of such party has not
breached any obligation of confidentiality; or (d) is independently developed by
a party or its Representatives"
