text,firstCharEnt1,firstCharEnt2,lastCharEnt1,lastCharEnt2,chunk1,chunk2,label1,label2,rel,direction
"EXHIBIT 10.43 Dated 29/3/18

Distributorship agreement

between

Signature Orthopaedics Pty Ltd

And

CPM Medical Consultants LLC

Source: FUSE MEDICAL, INC., 10-K, 3/21/2019





EXHIBIT 10.43 THIS AGREEMENT is dated

Parties

(1) Signature Orthopaedics Pty Ltd (ACN 106 702 416) , 7 Sirius Road, Lane Cove, NSW

(2) CPM Medical Consultants, LLC of 1565N. ",29,65,54,95,Distributorship agreement,Signature Orthopaedics Pty Ltd,DOC,PARTY,signed_by,1
"EXHIBIT 10.43 Dated 29/3/18

Distributorship agreement

between

Signature Orthopaedics Pty Ltd

And

CPM Medical Consultants LLC

Source: FUSE MEDICAL, INC., 10-K, 3/21/2019





EXHIBIT 10.43 THIS AGREEMENT is dated

Parties

(1) Signature Orthopaedics Pty Ltd (ACN 106 702 416) , 7 Sirius Road, Lane Cove, NSW

(2) CPM Medical Consultants, LLC of 1565N. ",29,102,54,129,Distributorship agreement,CPM Medical Consultants LLC,DOC,PARTY,signed_by,1
"EXHIBIT 10.43 Dated 29/3/18

Distributorship agreement

between

Signature Orthopaedics Pty Ltd

And

CPM Medical Consultants LLC

Source: FUSE MEDICAL, INC., 10-K, 3/21/2019





EXHIBIT 10.43 THIS AGREEMENT is dated

Parties

(1) Signature Orthopaedics Pty Ltd (ACN 106 702 416) , 7 Sirius Road, Lane Cove, NSW

(2) CPM Medical Consultants, LLC of 1565N. ",20,29,27,54,29/3/18,Distributorship agreement,EFFDATE,DOC,dated_as,2
"Sections 200.80(b)(4) and Rule 406 of the Securities Act of 1933, as amended.

   Collaboration Agreement, BII/ XENCOR



  Confidential

    COLLABORATION AGREEMENT   This Collaboration Agreement (""Agreement"") is made by and among     Xencor, Inc. ",173,236,196,247,Collaboration Agreement,"Xencor, Inc",DOC,PARTY,signed_by,1
"Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim International GmbH   Binger Straße 173 55216 Ingelheim Germany   (hereinafter called ""BII"")   (hereinafter BII an XENCOR each shall also be called ""Party"" and collectively ""Parties"" as the case may be). ",63,170,97,173,Boehringer Ingelheim International,BII,PARTY,ALIAS,has_alias,1
"Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim International GmbH   Binger Straße 173 55216 Ingelheim Germany   (hereinafter called ""BII"")   (hereinafter BII an XENCOR each shall also be called ""Party"" and collectively ""Parties"" as the case may be). ",63,191,97,194,Boehringer Ingelheim International,BII,PARTY,ALIAS,has_alias,1
"Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim International GmbH   Binger Straße 173 55216 Ingelheim Germany   (hereinafter called ""BII"")   (hereinafter BII an XENCOR each shall also be called ""Party"" and collectively ""Parties"" as the case may be). ",191,232,194,237,BII,Party,ALIAS,ALIAS,has_alias,1
"Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim International GmbH   Binger Straße 173 55216 Ingelheim Germany   (hereinafter called ""BII"")   (hereinafter BII an XENCOR each shall also be called ""Party"" and collectively ""Parties"" as the case may be). ",198,232,204,237,XENCOR,Party,ALIAS,ALIAS,has_alias,1
"Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim International GmbH   Binger Straße 173 55216 Ingelheim Germany   (hereinafter called ""BII"")   (hereinafter BII an XENCOR each shall also be called ""Party"" and collectively ""Parties"" as the case may be). ",191,257,194,264,BII,Parties,ALIAS,ALIAS,has_collective_alias,1
"Monrovia, CA 91016 USA

(hereinafter called ""XENCOR""),   and   Boehringer Ingelheim International GmbH   Binger Straße 173 55216 Ingelheim Germany   (hereinafter called ""BII"")   (hereinafter BII an XENCOR each shall also be called ""Party"" and collectively ""Parties"" as the case may be). ",198,257,204,264,XENCOR,Parties,ALIAS,ALIAS,has_collective_alias,1
