# Transaction Report

| DATE       | DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | DEPOSIT | WITHDRAWAL | TOTAL   |
|------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|---------|------------|---------|
| 01/14/2025 | Zelle Transfer To Pablo Fernandez Jr99m3H2A91                                                                                                                                                                                                                                                                                                                                                                                                                                                   |         | $ 247.00   | $ 247.00|
| 01/14/2025 | Org CO Name: Universal Freight Services Org ID: 2389475612 CO Entry Descr: Invoice Payment Sec. CCD Trace: 01200003529347E4 Fed. Ind. ID: 5012312. T: 50123983478. FED. Invoice for Invoices                                                                                                                                                                                                                                                                                                                                                      |         | 281.00     | 281.00  |
| 01/14/2025 | Bank Transfer - Emergency Fund Transfer to Savings Account TRANSFER_EFT-3592                                                                                                                                                                                                                                                                                                                                                                                                                     |         | 351.00     | -351.00 |
| 01/14/2025 | Zelle Payment to Pedro Herrera 18973554682                                                                                                                                                                                                                                                                                                                                                                                                                                                       |         | 267.00     | -267.00 |
| 01/15/2025 | Overdraft Fee - Bank of America Account OVERDRAFT_FEE-8472                                                                                                                                                                                                                                                                                                                                                                                                                                        |         | 233.00     | -233.00 |
| 01/15/2025 | Org CO Name: Best Bay Logistics Inc Org ID: 1204895371 CO Entry Descr: Invoice Payment Sec. CCD Trace: 01200003529347E4 Fed. Ind. ID: 5012312. T: 50123983478. FED. Invoice for Invoice #515365 Tm: 522748213Tc                                                                                                                                                                                                                                                                                                                                                      |         | 601.00     | 601.00  |
| 01/15/2025 | Org CO Name: Cargo Transport Services Org ID: 2389475612 CO Entry Descr: Invoice Payment Sec. CCD Trace: 01200003529347E4 Fed. Ind. ID: 5012312. T: 50123983478. FED. Invoice for Invoice #43871 Tm: 522748213Tc                                                                                                                                                                                                                                                                                                                                                      |         | 38.00      | 38.00   |
| 01/16/2025 | Org CO Name: TriunpPay CR Org ID: 3851526928 CO Entry Descr: Invoice Payment Sec. CCD Trace: 01200003529347E4 Fed. Ind. ID: 5012312. T: 50123983478. FED. Invoice for Invoice #40567834567                                                                                                                                                                                                                                                                                                                                                      |         | 927.00     | 927.00  |
| 01/16/2025 | Org CO Name: Velocity Freight LLC Org ID: 2839475612 CO Entry Descr: Invoice Payment Sec. CCD Trace: 01200003529347E4 Fed. Ind. ID: 5012312. T: 50123983478. FED. Invoice for Invoice #40567834567                                                                                                                                                                                                                                                                                                                                                      |         | 261.00     | 261.00  |
| 01/16/2025 | Stripe #7743 Tm: 5178976341 Sales STRIPE-PAYMENTS-298                                                                                                                                                                                                                                                                                                                                                                                                                                            |         | 206.00     | -206.00 |
| 01
