text,title
"An investigator conducts a clinical study of 300 patients with stages III and IV colon carcinoma. It is found that over time, metastases show an increasing potential for growth and resistance to chemotherapy. What mechanisms of the cell cycle best explains this observation? 

Answer 
Genomic instability during S, G2, and M phases",Q1_A1
"An investigator conducts a clinical study of 300 patients with stages III and IV colon carcinoma. It is found that over time, metastases show an increasing potential for growth and resistance to chemotherapy. What mechanisms of the cell cycle best explains this observation? 

Answer  
Decreased expression of cyclin B during GJM transition",Q1_A2
"An investigator conducts a clinical study of 300 patients with stages III and IV colon carcinoma. It is found that over time, metastases show an increasing potential for growth and resistance to chemotherapy. What mechanisms of the cell cycle best explains this observation? 

Answer  
Decreased phosphorylation of RB1 protein during G,-S transition ",Q1_A3
"A 9-year-old boy is brought to the physician because he told his teacher that his fingers felt ""funny"" after he swung on the monkey bars 2 hours ago. Neurologic examination shows numbness and tingling in the ring and small fingers of the left hand. The physician concludes that the ulnar nerve may have been stretched while he was hanging from the bars. What other functions should be checked to assess the integrity of the ulnar nerve in the left limb? 

Answer
Abduction of the index, middle, ring, and small fingers ",Q2_A1
"A 9-year-old boy is brought to the physician because he told his teacher that his fingers felt ""funny"" after he swung on the monkey bars 2 hours ago. Neurologic examination shows numbness and tingling in the ring and small fingers of the left hand. The physician concludes that the ulnar nerve may have been stretched while he was hanging from the bars. What other functions should be checked to assess the integrity of the ulnar nerve in the left limb? 

Answer
Extension of the index, middle, ring, and small fingers",Q2_A2
"A 9-year-old boy is brought to the physician because he told his teacher that his fingers felt ""funny"" after he swung on the monkey bars 2 hours ago. Neurologic examination shows numbness and tingling in the ring and small fingers of the left hand. The physician concludes that the ulnar nerve may have been stretched while he was hanging from the bars. What other functions should be checked to assess the integrity of the ulnar nerve in the left limb? 

Answer
Opposition of the thumb",Q2_A3
"An 8-year-old boy is brought to the physician by his parents because of disruptive behavior. They say, \""He is easily distracted, constantly interrupts us while we are talking, and seems to be always moving. His teacher says he is always talking with his neighbors, has trouble completing tasks, and refuses to wait his turn when playing games.\"" Physical examination shows no abnormalities. If drug therapy is indicated, administration of a drug with the following mechanisms of action is most appropriate:

Answer
Antagonism at B-adrenergic receptors
",Q3_A1
"An 8-year-old boy is brought to the physician by his parents because of disruptive behavior. They say, \""He is easily distracted, constantly interrupts us while we are talking, and seems to be always moving. His teacher says he is always talking with his neighbors, has trouble completing tasks, and refuses to wait his turn when playing games.\"" Physical examination shows no abnormalities. If drug therapy is indicated, administration of a drug with the following mechanisms of action is most appropriate:

Answer
Blockade of voltage gated Na* channels
",Q3_A2
"A 45-year-old man comes to the physician because of a 2-month history of a dull pain on the left side of his scrotum. Examination of the left side of the scrotum shows a bluish appearance of the skin and a palpable mass that feels like a bag of worms. Which of the following veins is most likely obstructed in this patient?

Answer
Left renal vein",Q4_A1
"A 45-year-old man comes to the physician because of a 2-month history of a dull pain on the left side of his scrotum. Examination of the left side of the scrotum shows a bluish appearance of the skin and a palpable mass that feels like a bag of worms. Which of the following veins is most likely obstructed in this patient?

Answer
Internal iliac vein",Q4_A2
