     subject  timepoint event    region    signal
0        s13         18  stim  parietal -0.017552
1         s5         14  stim  parietal -0.080883
2        s12         18  stim  parietal -0.081033
3        s11         18  stim  parietal -0.046134
4        s10         18  stim  parietal -0.037970
5         s9         18  stim  parietal -0.103513
6         s8         18  stim  parietal -0.064408
7         s7         18  stim  parietal -0.060526
8         s6         18  stim  parietal -0.007029
9         s5         18  stim  parietal -0.040557
10        s4         18  stim  parietal -0.048812
11        s3         18  stim  parietal -0.047148
12        s2         18  stim  parietal -0.086623
13        s1         18  stim  parietal -0.046659
14        s0         18  stim  parietal -0.075570
15       s13         17  stim  parietal -0.008265
16       s12         17  stim  parietal -0.088512
17        s7          9  stim  parietal  0.058897
18       s10         17  stim  parietal -0.016847
19        s9         17  stim  parietal -0.121574
20        s8         17  stim  parietal -0.076287
21        s7         17  stim  parietal -0.043812
22        s6         17  stim  parietal -0.014746
23        s5         17  stim  parietal -0.056682
24        s4         17  stim  parietal -0.044582
25        s3         17  stim  parietal -0.053514
26        s2         17  stim  parietal -0.077292
27        s1         17  stim  parietal -0.038021
28        s0         17  stim  parietal -0.071300
29       s13         16  stim  parietal -0.002856
30       s12         16  stim  parietal -0.089943
31       s11         16  stim  parietal -0.049587
32       s10         16  stim  parietal -0.013566
33        s9         16  stim  parietal -0.131641
34        s8         16  stim  parietal -0.093024
35        s7         16  stim  parietal -0.021897
36        s8          9  stim  parietal  0.170227
37        s5         16  stim  parietal -0.064138
38        s4         16  stim  parietal -0.047433
39        s3         16  stim  parietal -0.071022
40        s2         16  stim  parietal -0.064998
41        s1         16  stim  parietal -0.061356
42        s0         16  stim  parietal -0.057715
43       s13         15  stim  parietal -0.010971
44       s12         15  stim  parietal -0.080698
45       s11         15  stim  parietal -0.072112
46       s10         15  stim  parietal -0.028809
47        s9         15  stim  parietal -0.134828
48        s8         15  stim  parietal -0.112578
49        s7         15  stim  parietal -0.009383
50        s6         15  stim  parietal -0.068720
51        s5         15  stim  parietal -0.070562
52        s4         15  stim  parietal -0.056031
53        s3         15  stim  parietal -0.090735
54        s2         15  stim  parietal -0.055462
55        s1         15  stim  parietal -0.110742
56        s0         15  stim  parietal -0.053079
57       s13         14  stim  parietal -0.033713
58       s12         14  stim  parietal -0.068297
59       s11         14  stim  parietal -0.114469
60       s10         14  stim  parietal -0.052288
61        s9         14  stim  parietal -0.130267
62        s8         14  stim  parietal -0.128448
63        s7         14  stim  parietal -0.015140
64        s6         14  stim  parietal -0.098845
65       s11         17  stim  parietal -0.041960
66        s4         14  stim  parietal -0.063990
67        s0          0  stim   frontal -0.021452
68        s3         14  stim  parietal -0.110041
69        s1         14  stim  parietal -0.169312
70        s0         14  stim  parietal -0.052419
71       s13         13  stim  parietal -0.068637
72       s12         13  stim  parietal -0.056306
73       s11         13  stim  parietal -0.157834
74       s10         13  stim  parietal -0.073892
75        s9         13  stim  parietal -0.119383
76        s8         13  stim  parietal -0.123950
77        s7         13  stim  parietal -0.030026
78        s6         13  stim  parietal -0.133171
79        s5         13  stim  parietal -0.094971
80        s4         13  stim  parietal -0.074760
81        s3         13  stim  parietal -0.116552
82        s2         13  stim  parietal -0.052656
83        s1         13  stim  parietal -0.224351
84        s1          0  stim  parietal -0.064454
85       s13         12  stim  parietal -0.100984
86       s12         12  stim  parietal -0.052295
87       s11         12  stim  parietal -0.178510
88       s10         12  stim  parietal -0.087232
89        s9         12  stim  parietal -0.097789
90        s8         12  stim  parietal -0.092511
91        s7         12  stim  parietal -0.040385
92        s6         12  stim  parietal -0.150693
93        s5         12  stim  parietal -0.110496
94        s4         12  stim  parietal -0.090036
95        s3         12  stim  parietal -0.091301
96        s2         12  stim  parietal -0.056377
97        s1         12  stim  parietal -0.255486
98        s0         12  stim  parietal -0.052911
99       s13         11  stim  parietal -0.112575
100      s12         11  stim  parietal -0.056628
101      s11         11  stim  parietal -0.150709
102      s10         11  stim  parietal -0.078080
103       s9         11  stim  parietal -0.072241
104       s8         11  stim  parietal -0.028025
105       s7         11  stim  parietal -0.030991
106       s6         11  stim  parietal -0.134795
107       s5         11  stim  parietal -0.120695
108       s4         11  stim  parietal -0.128547
109       s3         11  stim  parietal -0.023274
110       s2         11  stim  parietal -0.073417
111       s1         11  stim  parietal -0.238474
112       s0         11  stim  parietal -0.051469
113      s13         10  stim  parietal -0.074503
114      s12         10  stim  parietal -0.066970
115      s11         10  stim  parietal -0.072780
116      s10         10  stim  parietal -0.041702
117       s9         10  stim  parietal -0.032380
118       s8         10  stim  parietal  0.065198
119       s7         10  stim  parietal  0.001648
120       s6         10  stim  parietal -0.075433
121       s5         10  stim  parietal -0.114762
122       s4         10  stim  parietal -0.152652
123       s3         10  stim  parietal  0.089231
124       s2         10  stim  parietal -0.087688
125       s1         10  stim  parietal -0.133041
126       s0         10  stim  parietal -0.047915
127      s13          9  stim  parietal  0.013245
128      s12          9  stim  parietal -0.062335
129      s11          9  stim  parietal  0.045419
130      s10          9  stim  parietal  0.031006
131       s9          9  stim  parietal  0.029053
132       s2         14  stim  parietal -0.052875
133       s6          9  stim  parietal  0.009017
134       s7          3  stim  parietal  0.009548
135       s0          7  stim  parietal  0.074343
136       s3          9  stim  parietal  0.221716
137       s2          9  stim  parietal -0.082613
138       s1          9  stim  parietal  0.057892
139       s0          9  stim  parietal -0.035587
140      s13          8  stim  parietal  0.130991
141      s12          8  stim  parietal -0.027577
142      s11          8  stim  parietal  0.169673
143      s10          8  stim  parietal  0.136291
144       s9          8  stim  parietal  0.121581
145       s8          8  stim  parietal  0.263207
146       s7          8  stim  parietal  0.133176
147       s6          8  stim  parietal  0.112147
148       s5          8  stim  parietal  0.006805
149       s4          8  stim  parietal  0.017535
150       s3          8  stim  parietal  0.337143
151       s6          2  stim  parietal -0.030781
152       s1          8  stim  parietal  0.294639
153       s0          8  stim  parietal  0.005101
154      s13          7  stim  parietal  0.240747
155      s12          7  stim  parietal  0.050173
156      s11          7  stim  parietal  0.254042
157      s10          7  stim  parietal  0.245642
158       s9          7  stim  parietal  0.238231
159       s8          7  stim  parietal  0.312811
160       s7          7  stim  parietal  0.198790
161       s6          7  stim  parietal  0.214480
162       s5          7  stim  parietal  0.119177
163       s4          7  stim  parietal  0.220449
164       s3          7  stim  parietal  0.390466
165       s2          7  stim  parietal  0.045744
166       s1          7  stim  parietal  0.494787
167       s4          9  stim  parietal -0.114242
168      s13          6  stim  parietal  0.291884
169      s12          5  stim  parietal  0.248138
170       s2          6  stim   frontal  0.101050
171       s1          6  stim  parietal  0.564985
172       s2          6  stim  parietal  0.143436
173       s3          6  stim  parietal  0.340480
174       s4          6  stim  parietal  0.405840
175       s5          6  stim  parietal  0.221493
176      s12          6  stim  parietal  0.157800
177       s7          6  stim  parietal  0.218061
178       s8          6  stim  parietal  0.298009
179       s9          6  stim  parietal  0.345918
180      s10          6  stim  parietal  0.296960
181      s11          6  stim  parietal  0.262771
182       s0          6  stim  parietal  0.143093
183       s6          6  stim  parietal  0.270956
184      s13          5  stim  parietal  0.252627
185       s6          5  stim  parietal  0.239175
186      s11          5  stim  parietal  0.194215
187      s10          5  stim  parietal  0.253871
188       s9          5  stim  parietal  0.381495
189       s8          5  stim  parietal  0.212855
190       s7          5  stim  parietal  0.177630
191       s5          5  stim  parietal  0.260057
192       s4          5  stim  parietal  0.460896
193       s3          5  stim  parietal  0.199188
194       s2          5  stim  parietal  0.209355
195       s1          5  stim  parietal  0.476055
196       s0          5  stim  parietal  0.175532
197      s13          4  stim  parietal  0.136219
198      s12          4  stim  parietal  0.261283
199       s2          8  stim  parietal -0.037407
200      s11          4  stim  parietal  0.087175
201       s7          2  stim  parietal -0.034874
202       s4          2  stim  parietal -0.028109
203       s8          4  stim  parietal  0.093181
204       s7          4  stim  parietal  0.093309
205       s6          4  stim  parietal  0.136847
206       s5          4  stim  parietal  0.208112
207       s4          4  stim  parietal  0.346775
208       s3          4  stim  parietal  0.027879
209       s2          4  stim  parietal  0.196461
210       s1          4  stim  parietal  0.287294
211       s0          4  stim  parietal  0.154058
212      s13          3  stim  parietal  0.008418
213      s12          3  stim  parietal  0.185581
214      s11          3  stim  parietal -0.010138
215      s10          3  stim  parietal  0.045838
216       s9          3  stim  parietal  0.164446
217      s10          4  stim  parietal  0.143986
218       s8          3  stim  parietal -0.006123
219       s6          3  stim  parietal  0.027562
220       s5          3  stim  parietal  0.092712
221       s4          3  stim  parietal  0.141458
222       s3          3  stim  parietal -0.089708
223       s2          3  stim  parietal  0.108916
224       s1          3  stim  parietal  0.092221
225       s0          3  stim  parietal  0.086399
226      s13          2  stim  parietal -0.062916
227      s12          2  stim  parietal  0.077277
228      s11          2  stim  parietal -0.059089
229      s10          2  stim  parietal  0.011751
230       s9          2  stim  parietal  0.040620
231       s8          2  stim  parietal -0.049964
232       s5          2  stim  parietal -0.017499
233       s3          2  stim  parietal -0.110565
234       s9          4  stim  parietal  0.307250
235       s2          2  stim  parietal  0.008791
236       s1          2  stim  parietal -0.035153
237       s0          2  stim  parietal  0.009642
238      s13          1  stim  parietal -0.064256
239      s12          1  stim  parietal  0.010625
240      s11          1  stim  parietal -0.059354
241      s10          1  stim  parietal  0.029822
242       s9          1  stim  parietal -0.012765
243       s8          1  stim  parietal -0.049532
244       s7          1  stim  parietal -0.023883
245       s6          1  stim  parietal -0.037326
246       s5          1  stim  parietal -0.063907
247       s4          1  stim  parietal -0.082174
248       s3          1  stim  parietal -0.061460
249       s2          1  stim  parietal -0.042087
250       s1          1  stim  parietal -0.074402
251       s0          1  stim  parietal -0.035735
252      s13          0  stim  parietal -0.042467
253      s12          0  stim  parietal  0.003358
254      s11          0  stim  parietal -0.044634
255      s10          0  stim  parietal  0.052619
256       s9          0  stim  parietal -0.018369
257       s8          0  stim  parietal -0.034340
258       s7          0  stim  parietal  0.004081
259       s6          0  stim  parietal -0.023319
260       s5          0  stim  parietal -0.051228
261       s4          0  stim  parietal -0.048869
262       s3          0  stim  parietal -0.008576
263       s2          0  stim  parietal -0.034407
264       s5          9  stim  parietal -0.074843
265       s0         13  stim  parietal -0.055264
266       s6         16  stim  parietal -0.039951
267      s10          4  stim   frontal  0.030044
268      s11          4  stim   frontal  0.075957
269       s3          0  stim   frontal  0.011056
270       s4          0  stim   frontal -0.017516
271       s5          0  stim   frontal -0.022977
272       s6          0  stim   frontal -0.007947
273       s7          0  stim   frontal -0.020864
274       s8          0  stim   frontal  0.018852
275       s9          0  stim   frontal  0.002888
276      s10          0  stim   frontal  0.074399
277      s11          0  stim   frontal -0.028423
278      s12          0  stim   frontal  0.038392
279      s13          0  stim   frontal -0.038266
280       s0          1  stim   frontal -0.021054
281       s1          1  stim   frontal -0.060273
282       s2          1  stim   frontal -0.036433
283       s3          1  stim   frontal -0.010262
284       s1          0  stim   frontal -0.046049
285       s5          1  stim   frontal -0.027179
286       s6          1  stim   frontal  0.009567
287       s7          1  stim   frontal -0.023526
288       s8          1  stim   frontal -0.009232
289       s9          1  stim   frontal -0.005616
290      s10          1  stim   frontal  0.063558
291      s11          1  stim   frontal -0.046235
292      s12          1  stim   frontal  0.044770
293      s13          1  stim   frontal -0.046493
294       s0          2  stim   frontal -0.009038
295       s1          2  stim   frontal -0.037520
296       s2          2  stim   frontal -0.010744
297       s3          2  stim   frontal -0.057306
298       s4          2  stim   frontal -0.022763
299       s5          2  stim   frontal  0.003836
300       s6          2  stim   frontal  0.025363
301       s7          2  stim   frontal  0.001795
302       s8          2  stim   frontal -0.042532
303       s9          2  stim   frontal -0.014442
304      s10          2  stim   frontal  0.030892
305      s11          2  stim   frontal -0.055154
306      s12          2  stim   frontal  0.075067
307      s13          2  stim   frontal -0.024231
308       s0          3  stim   frontal  0.026727
309       s1          3  stim   frontal  0.057598
310       s2          3  stim   frontal  0.057461
311       s3          3  stim   frontal -0.075213
312       s4          3  stim   frontal  0.120454
313       s5          3  stim   frontal  0.086629
314       s6          3  stim   frontal  0.061120
315       s7          3  stim   frontal  0.064002
316       s8          3  stim   frontal -0.047032
317       s9          3  stim   frontal  0.002063
318      s10          3  stim   frontal  0.009599
319      s11          3  stim   frontal -0.014988
320      s12          3  stim   frontal  0.112746
321      s13          3  stim   frontal  0.048318
322       s0          4  stim   frontal  0.070558
323       s1          4  stim   frontal  0.202123
324       s2          4  stim   frontal  0.128158
325       s3          4  stim   frontal -0.001835
326       s4          4  stim   frontal  0.324265
327       s5          4  stim   frontal  0.186012
328       s6          4  stim   frontal  0.134851
329       s7          4  stim   frontal  0.133497
330       s8          4  stim   frontal -0.012083
331       s9          4  stim   frontal  0.040636
332       s4          1  stim   frontal -0.050523
333      s12          4  stim   frontal  0.123050
334       s9          9  stim   frontal -0.096565
335      s13          4  stim   frontal  0.147685
336       s1          5  stim   frontal  0.315860
337       s2          5  stim   frontal  0.149879
338       s3          5  stim   frontal  0.147985
339       s4          5  stim   frontal  0.455575
340       s5          5  stim   frontal  0.236025
341       s6          5  stim   frontal  0.213484
342       s7          5  stim   frontal  0.176161
343       s8          5  stim   frontal  0.042811
344       s9          5  stim   frontal  0.058953
345      s10          5  stim   frontal  0.072731
346      s11          5  stim   frontal  0.160735
347      s12          5  stim   frontal  0.091027
348      s13          5  stim   frontal  0.211232
349       s0          6  stim   frontal  0.059436
350       s1          6  stim   frontal  0.321335
351       s0          5  stim   frontal  0.085387
352       s3          6  stim   frontal  0.282222
353       s4          6  stim   frontal  0.410661
354       s5          6  stim   frontal  0.196370
355       s6          6  stim   frontal  0.246784
356       s7          6  stim   frontal  0.171117
357       s8          6  stim   frontal  0.086120
358       s9          6  stim   frontal  0.032806
359      s10          6  stim   frontal  0.092245
360      s11          6  stim   frontal  0.176109
361      s12          6  stim   frontal  0.032758
362      s13          6  stim   frontal  0.195928
363       s0          7  stim   frontal  0.007993
364       s1          7  stim   frontal  0.204943
365       s2          0  stim   frontal -0.016985
366       s3          7  stim   frontal  0.319009
367       s4          7  stim   frontal  0.218514
368       s5          7  stim   frontal  0.088225
369       s6          7  stim   frontal  0.203884
370       s7          7  stim   frontal  0.126778
371       s8          7  stim   frontal  0.102759
372       s9          7  stim   frontal -0.018216
373      s10          7  stim   frontal  0.071110
374      s11          7  stim   frontal  0.100876
375      s12          7  stim   frontal -0.015597
376      s13          7  stim   frontal  0.114907
377       s0          8  stim   frontal -0.042793
378       s1          8  stim   frontal  0.036685
379       s2          8  stim   frontal -0.057302
380       s3          8  stim   frontal  0.248302
381       s4          8  stim   frontal  0.010963
382       s5          8  stim   frontal -0.025743
383       s6          8  stim   frontal  0.108753
384       s7          8  stim   frontal  0.066535
385       s8          8  stim   frontal  0.087507
386       s9          8  stim   frontal -0.067074
387      s10          8  stim   frontal  0.028299
388      s11          8  stim   frontal -0.017347
389      s12          8  stim   frontal -0.041572
390      s13          8  stim   frontal  0.013571
391       s0          9  stim   frontal -0.070102
392       s1          9  stim   frontal -0.092768
393       s2          9  stim   frontal -0.086100
394       s3          9  stim   frontal  0.127789
395       s4          9  stim   frontal -0.108729
396       s5          9  stim   frontal -0.097376
397       s6          9  stim   frontal  0.008617
398       s7          9  stim   frontal  0.012132
399       s8          9  stim   frontal  0.046827
400       s2          7  stim   frontal  0.014763
401      s10          9  stim   frontal -0.002734
402      s12         10  stim   frontal -0.043594
403      s12          9  stim   frontal -0.047257
404      s13          9  stim   frontal -0.068050
405       s0         10  stim   frontal -0.060433
406       s1         10  stim   frontal -0.143302
407       s2         10  stim   frontal -0.075936
408       s3         10  stim   frontal  0.012525
409       s4         10  stim   frontal -0.132442
410       s5         10  stim   frontal -0.118451
411       s6         10  stim   frontal -0.075961
412       s7         10  stim   frontal -0.024942
413       s8         10  stim   frontal -0.008700
414       s9         10  stim   frontal -0.101178
415      s10         10  stim   frontal -0.015356
416      s11         10  stim   frontal -0.159772
417      s13         10  stim   frontal -0.110285
418       s6         14  stim   frontal -0.088511
