text,label
"The fiscal year of the Company (herein called the ""fiscal year"") shall end on December 31 of each calendar year; provided, however, that the Managing Member may change the Company's fiscal year-end, without the consent of the Non-Managing Members, as deemed appropriate by the Managing Member, in its sole discretion.",fiscal-year
"Each of the Borrower and each other member of the Borrower Affiliated Group shall have a fiscal year ending on the Saturday closest to January 31 of each year and shall notify the Administrative Agent of any change in such fiscal year (whereupon, notwithstanding the provisions of Section 9.8, the Administrative Agent and the Banks shall have the right to modify the timing of the financial covenants hereunder accordingly in order to correspond to any such change in fiscal year).",fiscal-year
"Purchaser shall pay as the total Purchase Price for the Property (“Purchase Price”) the amount of Five Million Three Hundred Thousand and No/100ths U.S. Dollars ($5,300,000.00), which shall be payable as follows:",purchase-price
"The purchase price to be paid by Purchaser to Seller for the Subject Property shall be the sum of Three Million Five Hundred Twenty-Five Thousand and No/100 Dollars ($3,525,000.00). The purchase price shall be payable all in cash at the closing.",purchase-price
"The Guarantor hereby unconditionally and irrevocably guarantees to the Union the due and punctual payment on demand of up to 100 per cent of its contribution (the ""Guaranteed Contribution"") and accordingly undertakes to pay to the Union, within ten (10) Business Days (or such shorter period as is specified in this Guarantee Agreement) of receiving a written demand from the Commission in accordance with this Guarantee Agreement (a ""Demand"") up to 100 per cent of its Guaranteed Contribution.",guarantee
"The Holding Company hereby agrees to guarantee the payment by the Association of any benefits and compensation to which Executive is or may be entitled to under the terms and conditions of the employment agreement dated as of September 26, 1996 between the Association and the Executive, a copy of which is attached hereto as Exhibit A (""Association Agreement"").",guarantee
"GFS will bear its own expenses, in connection with the performance of the services under this Agreement, except as provided herein or as agreed to by the parties. In addition to the fees paid under subsection (a), the Trust agrees to reimburse GFS for out-of-pocket expenses or advances incurred by GFS for the items set out in Schedule B and any other expenses incurred by GFS at the request or with the consent of the Trust.",expenses
"Each party shall bear its own expenses in connection with presenting its case in arbitration. A transcript or recording shall be made of the hearing at the request of either party. The parties shall share equally the fees and expenses of the arbitrator, the cost of the transcript or recording if requested by either or both parties, and other expenses, which the parties mutually agree are necessary for the conduct of the arbitration. However, the party ordering the copy of the transcript shall pay for such copy.",expenses
Failure by either party to enforce any term of this Agreement will not be deemed a waiver of future enforcement of that or any other term in this Agreement or any other agreement that may be in place between the parties.,waiver
"Failure of any party to insist upon strict compliance with any of the conditions of this Agreement shall not be construed as a waiver of any of the conditions, but the same shall remain in full force and effect. No waiver of any of the provisions of this Agreement shall be deemed, or shall constitute a waiver of any other provisions, whether or not similar, nor shall any waiver constitute a continuing waiver.",waiver
